uniq_id,title,brand,description,price,categories,images,manufacturer,package_dimensions,country_of_origin,material,color
PROD-1040,ComfyCasa Fabric Bookshelf,ComfyCasa,A stylish bookshelf made from premium fabric in blue color. Perfect for modern homes.,8692.23,Bookshelf,https://picsum.photos/200?random=40,CraftedCo,89x59x86 cm,India,Fabric,Blue
PROD-1041,FurniCraft Glass Dining Set,FurniCraft,A stylish dining set made from premium glass in white color. Perfect for modern homes.,22099.54,Dining Set,https://picsum.photos/200?random=41,CraftedCo,186x53x113 cm,Vietnam,Glass,White
PROD-1042,HomeLuxe Fabric Table,HomeLuxe,A stylish table made from premium fabric in blue color. Perfect for modern homes.,28703.05,Table,https://picsum.photos/200?random=42,CraftedCo,174x87x121 cm,Italy,Fabric,Blue
PROD-1043,UrbanLoom Glass Wardrobe,UrbanLoom,A stylish wardrobe made from premium glass in blue color. Perfect for modern homes.,14501.27,Wardrobe,https://picsum.photos/200?random=43,CraftedCo,73x172x167 cm,Italy,Glass,Blue
PROD-1044,FurniCraft Leather Chair,FurniCraft,A stylish chair made from premium leather in white color. Perfect for modern homes.,13662.48,Chair,https://picsum.photos/200?random=44,CasaFurnish,67x37x124 cm,Germany,Leather,White
PROD-1045,FurniCraft Wood Wardrobe,FurniCraft,A stylish wardrobe made from premium wood in white color. Perfect for modern homes.,8209.05,Wardrobe,https://picsum.photos/200?random=45,CraftedCo,86x174x44 cm,Italy,Wood,White
PROD-1046,UrbanLoom Fabric Bookshelf,UrbanLoom,A stylish bookshelf made from premium fabric in black color. Perfect for modern homes.,16708.02,Bookshelf,https://picsum.photos/200?random=46,CraftedCo,93x194x134 cm,Germany,Fabric,Black
PROD-1047,UrbanLoom Metal Table,UrbanLoom,A stylish table made from premium metal in beige color. Perfect for modern homes.,8247.16,Table,https://picsum.photos/200?random=47,CasaFurnish,143x162x109 cm,China,Metal,Beige
PROD-1048,OakStone Fabric Wardrobe,OakStone,A stylish wardrobe made from premium fabric in green color. Perfect for modern homes.,12875.57,Wardrobe,https://picsum.photos/200?random=48,FurniMakers Ltd.,196x69x100 cm,India,Fabric,Green
PROD-1049,ComfyCasa Wood Chair,ComfyCasa,A stylish chair made from premium wood in grey color. Perfect for modern homes.,13185.4,Chair,https://picsum.photos/200?random=49,CasaFurnish,44x175x125 cm,Italy,Wood,Grey
PROD-1050,UrbanLoom Wood Bed,UrbanLoom,A stylish bed made from premium wood in black color. Perfect for modern homes.,28710.75,Bed,https://picsum.photos/200?random=50,UrbanWorks,93x195x169 cm,India,Wood,Black
